Age,Country of Birth,Gender,Employment Status,Average Drinks per Day
19,Germany,Female,Self-Employed,3.3
68,Germany,Non-Binary,Unemployed,4.3
78,Canada,Male,Unemployed,5.0
66,United States,Female,Self-Employed,1.8
31,Australia,Female,Part-Time,1.2
78,Mexico,Male,Unemployed,3.1
73,China,Non-Binary,Part-Time,1.4
29,United States,Female,Unemployed,4.5
34,China,Female,Self-Employed,2.6
45,China,Male,Self-Employed,1.3
64,Australia,Female,Full-Time,1.3
71,Germany,Non-Binary,Part-Time,3.3
25,Germany,Male,Full-Time,6.4
21,Mexico,Male,Unemployed,5.7
46,Mexico,Non-Binary,Unemployed,0.4
68,China,Non-Binary,Part-Time,1.3
78,Mexico,Female,Unemployed,0.6
37,India,Non-Binary,Self-Employed,0.4
26,Canada,Female,Unemployed,1.7
72,Germany,Female,Unemployed,0.8
32,Germany,Male,Full-Time,3.5
34,Germany,Non-Binary,Part-Time,5.3
68,Canada,Non-Binary,Full-Time,1.4
46,India,Female,Part-Time,2.3
79,Germany,Male,Part-Time,1.0
38,India,Male,Full-Time,3.0
35,India,Female,Unemployed,4.5
80,Canada,Non-Binary,Self-Employed,0.4
70,China,Female,Self-Employed,2.2
41,India,Female,Part-Time,0.2
42,India,Non-Binary,Self-Employed,0.7
25,Germany,Male,Unemployed,8.2
24,India,Non-Binary,Unemployed,4.9
39,Australia,Non-Binary,Self-Employed,1.8
76,Australia,Male,Full-Time,0.2
22,Canada,Female,Full-Time,1.7
71,Canada,Female,Full-Time,0.6
80,United States,Male,Part-Time,0.1
47,Canada,Male,Part-Time,0.7
18,Germany,Male,Full-Time,9.4
75,Canada,Male,Full-Time,3.5
67,United States,Non-Binary,Full-Time,1.6
31,Canada,Female,Part-Time,0.1
70,India,Non-Binary,Unemployed,1.9
34,Australia,Female,Part-Time,0.1
33,Mexico,Non-Binary,Unemployed,1.0
61,Canada,Female,Self-Employed,1.9
56,Australia,Female,Part-Time,0.6
60,China,Female,Self-Employed,1.8
69,Mexico,Female,Self-Employed,0.4
37,China,Non-Binary,Full-Time,2.6
63,Australia,Female,Part-Time,1.3
39,Australia,Female,Unemployed,0.5
19,China,Non-Binary,Part-Time,0.1
37,Germany,Non-Binary,Part-Time,2.4
79,Mexico,Male,Part-Time,3.9
72,Mexico,Male,Self-Employed,0.6
35,United States,Non-Binary,Full-Time,1.4
24,Germany,Female,Part-Time,3.0
18,India,Male,Unemployed,1.3
78,Australia,Female,Unemployed,3.2
20,Canada,Non-Binary,Full-Time,0.2
47,Germany,Non-Binary,Part-Time,0.4
48,Mexico,Female,Self-Employed,1.8
32,United States,Female,Part-Time,1.6
72,Canada,Non-Binary,Part-Time,1.1
74,India,Female,Part-Time,3.3
40,Germany,Male,Unemployed,4.9
23,Australia,Non-Binary,Full-Time,0.6
37,Canada,Female,Full-Time,2.9
43,India,Non-Binary,Self-Employed,3.8
31,China,Male,Full-Time,5.6
69,Canada,Male,Part-Time,4.9
77,Australia,Male,Self-Employed,0.2
80,Mexico,Female,Unemployed,1.9
45,Germany,Non-Binary,Part-Time,0.7
55,Australia,Female,Unemployed,1.8
72,Mexico,Female,Self-Employed,0.9
48,Mexico,Female,Part-Time,0.4
18,Germany,Female,Part-Time,1.5
63,China,Female,Part-Time,1.9
24,Australia,Female,Unemployed,2.6
46,Mexico,Non-Binary,Unemployed,1.4
46,Australia,Non-Binary,Unemployed,0.1
56,China,Male,Full-Time,4.9
40,Mexico,Non-Binary,Full-Time,1.1
24,China,Male,Full-Time,2.7
74,United States,Male,Part-Time,1.2
46,India,Male,Part-Time,3.6
75,China,Male,Part-Time,2.2
31,Mexico,Female,Part-Time,0.1
19,India,Female,Unemployed,3.6
58,Canada,Non-Binary,Self-Employed,0.6
43,Australia,Female,Full-Time,1.0
22,China,Female,Self-Employed,0.2
53,Canada,Male,Self-Employed,2.0
40,United States,Non-Binary,Full-Time,0.5
50,Germany,Male,Self-Employed,8.9
73,Canada,Male,Part-Time,0.6
51,Germany,Female,Unemployed,1.9
29,Canada,Non-Binary,Unemployed,5.8
23,Germany,Non-Binary,Self-Employed,0.1
67,Canada,Female,Part-Time,0.6
64,Canada,Female,Part-Time,0.2
57,United States,Non-Binary,Self-Employed,0.7
63,Mexico,Non-Binary,Part-Time,0.7
24,Australia,Female,Unemployed,2.7
50,India,Female,Unemployed,0.9
60,Germany,Non-Binary,Full-Time,1.4
32,Germany,Female,Full-Time,2.9
70,Canada,Non-Binary,Full-Time,2.1
42,Canada,Non-Binary,Self-Employed,0.0
20,India,Non-Binary,Self-Employed,2.2
35,India,Female,Full-Time,0.2
62,India,Non-Binary,Unemployed,0.3
18,Germany,Non-Binary,Self-Employed,1.6
33,Canada,Female,Full-Time,1.4
53,Germany,Male,Self-Employed,0.2
65,India,Male,Full-Time,1.8
80,Mexico,Female,Unemployed,2.5
79,Mexico,Non-Binary,Self-Employed,1.7
39,Canada,Male,Self-Employed,5.4
22,United States,Female,Part-Time,0.6
74,United States,Non-Binary,Full-Time,0.9
79,Australia,Male,Self-Employed,1.2
55,China,Non-Binary,Part-Time,2.1
77,Australia,Female,Self-Employed,0.5
76,United States,Non-Binary,Self-Employed,4.5
57,Australia,Female,Part-Time,2.2
45,China,Male,Unemployed,2.8
29,Australia,Female,Full-Time,0.3
68,Canada,Non-Binary,Full-Time,0.6
76,Mexico,Non-Binary,Part-Time,1.3
68,Mexico,Male,Part-Time,6.5
24,India,Non-Binary,Part-Time,2.8
57,China,Female,Self-Employed,2.7
20,Australia,Non-Binary,Unemployed,0.6
77,United States,Female,Part-Time,1.0
50,India,Male,Unemployed,1.9
71,China,Non-Binary,Self-Employed,0.2
78,China,Male,Full-Time,2.9
60,Germany,Non-Binary,Part-Time,2.1
34,India,Female,Full-Time,0.2
24,India,Non-Binary,Full-Time,2.2
65,India,Non-Binary,Unemployed,1.5
73,Mexico,Non-Binary,Part-Time,0.7
62,Germany,Female,Unemployed,4.0
34,China,Female,Part-Time,24.0
64,China,Male,Full-Time,10.3
73,India,Male,Part-Time,5.3
70,Mexico,Non-Binary,Full-Time,1.6
33,Australia,Female,Self-Employed,1.9
37,China,Female,Part-Time,12.1
24,United States,Non-Binary,Self-Employed,2.3
52,Germany,Female,Unemployed,0.5
36,China,Female,Full-Time,7.9
53,China,Female,Full-Time,0.8
27,Australia,Female,Unemployed,5.5
22,Mexico,Male,Self-Employed,4.8
77,United States,Non-Binary,Self-Employed,3.0
29,Germany,Female,Part-Time,0.8
61,Australia,Non-Binary,Part-Time,1.5
41,Germany,Non-Binary,Self-Employed,1.8
41,China,Female,Full-Time,0.2
29,Australia,Female,Part-Time,0.2
54,Australia,Non-Binary,Unemployed,3.1
28,Mexico,Non-Binary,Part-Time,2.3
30,China,Non-Binary,Part-Time,0.6
69,China,Female,Part-Time,1.7
44,United States,Male,Part-Time,1.7
21,Mexico,Female,Part-Time,0.1
56,Australia,Non-Binary,Full-Time,0.2
54,China,Female,Part-Time,0.0
53,China,Male,Self-Employed,2.5
61,United States,Female,Unemployed,2.3
56,Australia,Non-Binary,Part-Time,0.8
28,Canada,Female,Unemployed,0.1
67,United States,Female,Full-Time,1.5
79,China,Non-Binary,Unemployed,5.1
50,United States,Non-Binary,Unemployed,2.5
73,Australia,Female,Full-Time,2.4
74,Mexico,Non-Binary,Full-Time,2.8
71,India,Male,Unemployed,9.1
55,China,Male,Full-Time,0.5
37,Germany,Non-Binary,Unemployed,2.5
78,Germany,Non-Binary,Full-Time,1.1
26,United States,Non-Binary,Self-Employed,0.8
32,China,Non-Binary,Self-Employed,1.5
49,China,Male,Full-Time,0.7
72,Mexico,Female,Full-Time,0.8
58,China,Male,Self-Employed,1.2
78,Australia,Non-Binary,Unemployed,1.4
69,Germany,Male,Self-Employed,6.0
28,China,Non-Binary,Unemployed,0.4
34,Canada,Female,Full-Time,1.0
32,Canada,Non-Binary,Self-Employed,1.7
63,India,Non-Binary,Full-Time,1.2
51,Australia,Female,Part-Time,0.8
52,Mexico,Female,Self-Employed,1.0
39,Australia,Male,Part-Time,2.2
78,Germany,Female,Full-Time,0.5
35,Mexico,Male,Unemployed,2.6
59,China,Male,Part-Time,1.5
20,China,Male,Unemployed,4.9
61,Mexico,Female,Part-Time,1.8
69,China,Non-Binary,Full-Time,1.3
41,India,Male,Unemployed,1.1
23,United States,Non-Binary,Self-Employed,2.3
27,Canada,Female,Part-Time,0.4
47,Canada,Male,Self-Employed,4.9
39,Germany,Female,Unemployed,1.6
78,Mexico,Female,Full-Time,3.6
66,Australia,Male,Unemployed,7.7
36,India,Male,Part-Time,1.8
36,India,Female,Self-Employed,0.3
36,United States,Non-Binary,Part-Time,0.7
75,Mexico,Non-Binary,Self-Employed,1.5
79,Canada,Non-Binary,Self-Employed,3.1
34,Canada,Non-Binary,Full-Time,1.1
54,Mexico,Male,Self-Employed,4.5
49,Germany,Non-Binary,Unemployed,0.4
63,Mexico,Female,Full-Time,1.1
51,Mexico,Male,Unemployed,0.4
29,Australia,Non-Binary,Full-Time,0.3
79,India,Female,Part-Time,0.1
62,India,Female,Self-Employed,0.6
67,Germany,Female,Full-Time,4.0
39,Mexico,Non-Binary,Unemployed,0.9
54,Canada,Non-Binary,Part-Time,0.3
36,Australia,Female,Self-Employed,0.0
65,Mexico,Male,Self-Employed,2.8
21,China,Non-Binary,Full-Time,0.2
60,Australia,Female,Unemployed,0.8
71,Mexico,Male,Self-Employed,0.2
78,Canada,Male,Full-Time,4.0
59,United States,Male,Self-Employed,1.0
37,India,Female,Full-Time,9.3
43,China,Female,Unemployed,1.3
47,Australia,Male,Self-Employed,3.2
41,Germany,Non-Binary,Unemployed,0.6
36,Mexico,Male,Part-Time,4.6
63,Mexico,Non-Binary,Full-Time,3.1
39,China,Female,Part-Time,0.5
64,China,Non-Binary,Part-Time,0.3
64,United States,Male,Part-Time,3.4
68,Canada,Male,Part-Time,1.3
59,Germany,Non-Binary,Unemployed,4.6
21,Canada,Male,Unemployed,3.5
79,United States,Male,Part-Time,1.1
37,China,Male,Part-Time,1.9
75,Germany,Non-Binary,Self-Employed,0.9
24,China,Non-Binary,Self-Employed,0.1
34,United States,Male,Unemployed,0.1
63,United States,Male,Full-Time,6.1
73,India,Female,Unemployed,0.0
29,United States,Non-Binary,Part-Time,2.8
57,United States,Female,Self-Employed,2.3
27,United States,Non-Binary,Self-Employed,2.6
42,China,Male,Part-Time,1.0
26,Germany,Female,Full-Time,0.2
74,India,Non-Binary,Full-Time,0.6
18,Germany,Female,Unemployed,3.3
72,Germany,Female,Self-Employed,0.1
68,Canada,Female,Part-Time,0.5
24,United States,Male,Unemployed,1.6
45,Germany,Female,Part-Time,0.4
63,Mexico,Female,Full-Time,2.0
59,India,Non-Binary,Full-Time,2.0
51,China,Non-Binary,Unemployed,2.5
38,Australia,Female,Unemployed,0.2
80,India,Male,Self-Employed,1.6
20,India,Male,Self-Employed,3.8
28,Mexico,Male,Unemployed,6.9
76,Canada,Non-Binary,Part-Time,1.9
31,Australia,Non-Binary,Part-Time,2.8
28,United States,Male,Unemployed,2.8
56,Australia,Female,Unemployed,3.5
49,Australia,Male,Part-Time,6.3
41,China,Non-Binary,Full-Time,1.3
68,Canada,Female,Full-Time,6.0
69,United States,Non-Binary,Unemployed,0.2
25,India,Male,Full-Time,0.5
19,Mexico,Female,Self-Employed,0.0
43,United States,Male,Self-Employed,0.9
72,Canada,Male,Self-Employed,1.3
62,United States,Non-Binary,Part-Time,0.1
37,Germany,Non-Binary,Part-Time,4.4
39,Germany,Female,Part-Time,1.6
57,Germany,Female,Self-Employed,0.6
69,United States,Female,Unemployed,1.4
31,Australia,Male,Part-Time,2.0
29,Canada,Non-Binary,Full-Time,0.0
41,India,Male,Self-Employed,1.4
33,Canada,Male,Unemployed,2.2
63,United States,Female,Full-Time,0.3
63,Canada,Female,Self-Employed,1.9
25,China,Female,Self-Employed,0.9
51,Germany,Male,Part-Time,1.0
55,Mexico,Female,Part-Time,0.0
20,Mexico,Non-Binary,Unemployed,0.4
23,India,Female,Full-Time,3.6
78,Canada,Male,Unemployed,2.6
40,Australia,Female,Self-Employed,0.2
49,Canada,Non-Binary,Full-Time,0.5
45,Australia,Male,Full-Time,0.4
70,United States,Female,Part-Time,0.5
22,China,Female,Part-Time,0.3
40,Mexico,Female,Part-Time,1.2
18,China,Male,Self-Employed,1.1
63,Germany,Non-Binary,Self-Employed,0.4
59,Australia,Male,Self-Employed,10.1
18,China,Male,Unemployed,8.1
33,India,Non-Binary,Part-Time,2.4
69,United States,Male,Full-Time,5.5
26,Germany,Female,Full-Time,0.9
22,Australia,Female,Unemployed,3.9
22,United States,Male,Unemployed,0.9
52,Mexico,Female,Unemployed,2.3
58,India,Female,Full-Time,3.0
57,China,Non-Binary,Full-Time,4.2
39,Germany,Non-Binary,Self-Employed,2.5
65,Germany,Female,Unemployed,2.0
44,United States,Female,Unemployed,2.6
71,United States,Female,Part-Time,0.0
77,India,Non-Binary,Part-Time,0.3
53,China,Non-Binary,Unemployed,0.2
56,India,Female,Self-Employed,1.1
75,Mexico,Non-Binary,Self-Employed,4.4
68,Mexico,Male,Unemployed,0.8
37,Canada,Non-Binary,Full-Time,0.8
70,China,Male,Part-Time,14.4
19,United States,Non-Binary,Full-Time,0.9
37,Germany,Male,Full-Time,0.9
18,China,Female,Self-Employed,0.3
44,Mexico,Female,Unemployed,2.6
56,India,Female,Full-Time,0.9
74,Australia,Male,Part-Time,3.1
39,United States,Non-Binary,Self-Employed,8.0
52,United States,Female,Part-Time,1.1
59,Australia,Male,Full-Time,0.6
47,China,Female,Unemployed,1.5
77,Mexico,Female,Part-Time,0.0
68,India,Non-Binary,Self-Employed,0.4
75,China,Female,Full-Time,0.4
32,United States,Female,Self-Employed,0.1
64,India,Male,Unemployed,0.4
19,India,Female,Self-Employed,2.6
34,United States,Female,Self-Employed,2.5
27,Mexico,Female,Part-Time,1.2
24,India,Non-Binary,Self-Employed,1.1
52,Canada,Female,Self-Employed,1.5
23,China,Non-Binary,Unemployed,0.4
27,Australia,Male,Unemployed,4.9
76,Canada,Non-Binary,Part-Time,2.5
26,Australia,Non-Binary,Part-Time,0.5
44,Germany,Male,Part-Time,3.9
51,Germany,Non-Binary,Part-Time,2.0
55,Canada,Female,Self-Employed,0.3
38,Australia,Non-Binary,Part-Time,4.7
35,Germany,Female,Self-Employed,0.1
59,India,Male,Self-Employed,3.3
45,Australia,Non-Binary,Unemployed,1.3
46,Germany,Male,Full-Time,2.6
56,United States,Non-Binary,Full-Time,0.1
30,Australia,Female,Unemployed,2.7
39,India,Non-Binary,Full-Time,5.5
58,Germany,Non-Binary,Unemployed,1.7
27,Germany,Male,Part-Time,2.8
79,Canada,Non-Binary,Part-Time,1.2
47,Canada,Male,Full-Time,0.1
43,China,Male,Self-Employed,1.9
45,Australia,Female,Self-Employed,1.6
66,China,Male,Self-Employed,1.6
67,Australia,Non-Binary,Unemployed,3.8
46,United States,Non-Binary,Unemployed,7.9
65,China,Male,Self-Employed,3.6
49,Mexico,Male,Full-Time,0.8
70,Canada,Female,Unemployed,1.3
19,United States,Non-Binary,Self-Employed,0.0
31,Canada,Male,Self-Employed,0.6
56,India,Non-Binary,Self-Employed,0.1
56,Australia,Male,Self-Employed,0.7
25,China,Male,Part-Time,3.2
39,Mexico,Non-Binary,Part-Time,2.7
75,Mexico,Male,Unemployed,4.7
44,Mexico,Female,Unemployed,2.8
52,Canada,Non-Binary,Full-Time,2.0
33,Canada,Female,Part-Time,1.1
18,China,Male,Part-Time,0.5
35,China,Female,Part-Time,1.5
34,Canada,Non-Binary,Part-Time,5.2
19,Germany,Male,Part-Time,2.7
80,Mexico,Female,Unemployed,0.3
53,Canada,Male,Unemployed,0.0
39,Canada,Female,Unemployed,0.6
29,Australia,Male,Part-Time,2.7
64,Germany,Non-Binary,Part-Time,0.1
27,Mexico,Non-Binary,Self-Employed,1.2
66,United States,Female,Part-Time,3.6
70,Australia,Female,Full-Time,3.4
73,Australia,Male,Full-Time,1.2
34,Mexico,Non-Binary,Part-Time,4.0
40,Australia,Non-Binary,Self-Employed,0.2
47,Canada,Female,Self-Employed,0.4
68,United States,Male,Full-Time,0.3
36,Mexico,Male,Unemployed,16.9
55,Germany,Male,Self-Employed,1.2
43,United States,Male,Self-Employed,1.8
29,Canada,Female,Part-Time,1.5
60,Mexico,Non-Binary,Unemployed,8.4
36,United States,Female,Unemployed,3.5
74,China,Male,Part-Time,3.3
49,Australia,Female,Full-Time,0.2
77,United States,Female,Unemployed,0.8
67,United States,Non-Binary,Self-Employed,0.5
69,Germany,Non-Binary,Full-Time,0.9
33,India,Non-Binary,Part-Time,7.2
71,China,Non-Binary,Full-Time,0.8
19,China,Female,Full-Time,1.3
27,India,Male,Full-Time,1.2
65,United States,Female,Self-Employed,3.4
78,Germany,Female,Unemployed,0.4
40,Australia,Female,Self-Employed,2.0
24,Canada,Non-Binary,Full-Time,1.4
75,Germany,Female,Full-Time,0.3
26,Australia,Non-Binary,Self-Employed,3.5
25,Germany,Non-Binary,Self-Employed,1.3
54,Mexico,Non-Binary,Full-Time,0.0
58,Australia,Non-Binary,Part-Time,2.5
53,China,Male,Full-Time,1.8
58,Mexico,Non-Binary,Full-Time,0.2
35,China,Non-Binary,Part-Time,2.4
74,Canada,Male,Unemployed,2.3
56,Canada,Female,Part-Time,1.9
25,China,Female,Full-Time,0.8
64,Germany,Female,Part-Time,0.2
53,Mexico,Female,Part-Time,0.3
66,Mexico,Non-Binary,Part-Time,1.4
79,Canada,Female,Self-Employed,0.9
44,China,Non-Binary,Full-Time,0.7
73,Germany,Female,Full-Time,1.1
30,Australia,Male,Full-Time,1.1
67,Canada,Non-Binary,Full-Time,1.6
33,Canada,Non-Binary,Unemployed,2.8
48,Australia,Female,Self-Employed,0.6
22,China,Female,Full-Time,0.8
68,Germany,Non-Binary,Self-Employed,0.6
65,India,Non-Binary,Full-Time,0.7
78,United States,Non-Binary,Unemployed,0.3
39,India,Female,Full-Time,9.8
47,Canada,Male,Self-Employed,0.4
21,Australia,Male,Part-Time,1.1
72,United States,Non-Binary,Full-Time,2.2
65,China,Female,Part-Time,0.4
32,China,Non-Binary,Self-Employed,0.1
24,India,Non-Binary,Self-Employed,3.6
46,Canada,Female,Full-Time,2.8
77,Germany,Non-Binary,Part-Time,6.3
48,Australia,Female,Unemployed,1.4
77,Mexico,Male,Self-Employed,4.4
31,United States,Female,Full-Time,0.4
77,United States,Female,Full-Time,6.4
60,Canada,Male,Unemployed,9.6
68,China,Non-Binary,Self-Employed,1.4
62,China,Female,Part-Time,2.9
74,China,Female,Part-Time,3.5
44,Mexico,Male,Unemployed,5.0
21,Germany,Male,Unemployed,3.1
50,India,Non-Binary,Unemployed,0.8
67,India,Non-Binary,Unemployed,1.1
71,Mexico,Male,Part-Time,0.2
22,China,Non-Binary,Self-Employed,2.8
63,India,Female,Self-Employed,2.2
77,Germany,Non-Binary,Full-Time,1.3
21,Canada,Non-Binary,Self-Employed,4.6
50,Germany,Female,Part-Time,0.4
21,Mexico,Male,Unemployed,0.3
29,Mexico,Male,Unemployed,5.7
39,Mexico,Non-Binary,Full-Time,2.0
62,Australia,Non-Binary,Part-Time,2.2
55,Germany,Non-Binary,Full-Time,0.9
30,Germany,Male,Part-Time,2.6
62,United States,Female,Part-Time,1.7
34,China,Female,Part-Time,7.3
76,United States,Female,Part-Time,0.6
42,Mexico,Non-Binary,Full-Time,2.6
45,Germany,Male,Part-Time,1.9
66,India,Non-Binary,Part-Time,0.5
19,Germany,Male,Self-Employed,1.7
22,China,Male,Self-Employed,1.6
23,Mexico,Female,Self-Employed,1.3
24,Germany,Female,Part-Time,0.8
61,China,Female,Full-Time,0.5
23,Canada,Female,Unemployed,2.2
57,United States,Non-Binary,Full-Time,0.8
50,Germany,Non-Binary,Full-Time,0.3
68,Australia,Non-Binary,Unemployed,1.0
64,India,Male,Unemployed,1.3
54,Mexico,Non-Binary,Part-Time,0.3
75,United States,Male,Self-Employed,3.0
46,Canada,Female,Part-Time,1.3
65,Australia,Non-Binary,Full-Time,2.2
37,Australia,Female,Self-Employed,1.9
39,Germany,Female,Self-Employed,2.0
77,India,Female,Full-Time,2.1
75,United States,Non-Binary,Unemployed,9.8
51,Germany,Non-Binary,Part-Time,1.4
51,United States,Female,Part-Time,1.0
58,Canada,Male,Self-Employed,1.7
59,Canada,Non-Binary,Part-Time,1.3
79,China,Male,Full-Time,2.8
51,Mexico,Female,Full-Time,2.7
55,Australia,Male,Self-Employed,2.2
74,Germany,Female,Unemployed,1.2
32,Germany,Male,Unemployed,0.9
38,Australia,Non-Binary,Part-Time,1.4
41,Australia,Male,Full-Time,1.6
66,Germany,Female,Part-Time,3.9
19,Australia,Male,Full-Time,0.0
24,China,Male,Full-Time,0.7
22,Germany,Non-Binary,Unemployed,0.1
44,Australia,Female,Full-Time,0.4
64,United States,Non-Binary,Part-Time,0.7
19,Australia,Non-Binary,Self-Employed,2.7
30,Australia,Non-Binary,Unemployed,0.0
56,United States,Female,Part-Time,0.8
43,Canada,Male,Self-Employed,7.9
21,India,Male,Self-Employed,8.0
26,United States,Non-Binary,Unemployed,1.1
28,India,Female,Self-Employed,0.0
73,China,Non-Binary,Full-Time,0.8
77,Germany,Female,Self-Employed,0.2
78,Mexico,Female,Part-Time,1.4
61,Australia,Non-Binary,Full-Time,1.8
36,United States,Male,Self-Employed,3.3
50,China,Non-Binary,Self-Employed,0.1
23,Mexico,Female,Part-Time,1.1
39,India,Female,Part-Time,0.8
67,Germany,Female,Self-Employed,1.0
23,Canada,Non-Binary,Unemployed,2.6
59,United States,Male,Full-Time,2.6
33,Canada,Non-Binary,Unemployed,0.7
32,United States,Female,Part-Time,0.1
56,Canada,Male,Unemployed,4.7
57,Canada,Female,Unemployed,0.0
37,United States,Female,Full-Time,0.5
59,Australia,Female,Part-Time,1.8
68,Canada,Female,Part-Time,1.7
73,China,Female,Full-Time,2.2
26,Mexico,Non-Binary,Unemployed,5.8
21,Canada,Non-Binary,Self-Employed,2.2
33,Germany,Non-Binary,Self-Employed,4.9
46,United States,Male,Full-Time,2.4
74,Germany,Non-Binary,Unemployed,8.3
36,China,Non-Binary,Full-Time,3.3
79,Mexico,Male,Full-Time,0.7
58,Australia,Female,Part-Time,0.1
78,Mexico,Male,Unemployed,2.7
58,India,Non-Binary,Part-Time,0.5
58,United States,Male,Self-Employed,3.5
50,Germany,Non-Binary,Unemployed,2.7
79,United States,Non-Binary,Self-Employed,1.9
51,Australia,Male,Part-Time,0.2
73,Australia,Non-Binary,Self-Employed,0.2
50,Mexico,Female,Part-Time,1.7
52,China,Male,Full-Time,0.5
27,China,Non-Binary,Self-Employed,5.0
62,Australia,Female,Self-Employed,1.3
25,Canada,Female,Part-Time,0.7
22,India,Female,Full-Time,0.1
46,Mexico,Female,Full-Time,2.7
29,United States,Non-Binary,Part-Time,0.3
57,Germany,Female,Part-Time,1.6
27,Germany,Male,Part-Time,1.5
37,Mexico,Female,Full-Time,1.1
76,Canada,Non-Binary,Full-Time,0.7
